mRNA	lncRNA	pcc	adjp
ENSMUSG00000024142.14	ENSMUSG00000102194.1	0.997112481977	0.000205758989097
ENSMUSG00000024143.14	ENSMUSG00000085837.8	0.994203541371	0.00585291213578
ENSMUSG00000024150.11	ENSMUSG00000085355.2	0.994592197559	0.00425957353319
ENSMUSG00000024150.11	ENSMUSG00000085538.1	0.994160817566	0.00605182789737
ENSMUSG00000024158.17	ENSMUSG00000084946.2	0.996029012819	0.00099322508818
ENSMUSG00000024174.8	ENSMUSG00000100176.1	0.994816274484	0.00350333065793
ENSMUSG00000024190.6	ENSMUSG00000090168.1	0.996949431432	0.000271334623932
ENSMUSG00000024206.14	ENSMUSG00000097419.1	0.994553974219	0.00439986881871
ENSMUSG00000024213.14	ENSMUSG00000085945.3	0.995042078985	0.0028480148926
ENSMUSG00000024220.13	ENSMUSG00000097766.1	0.99504487551	0.00284052697694
ENSMUSG00000024247.14	ENSMUSG00000114590.1	0.994774170768	0.00363706084068
ENSMUSG00000024251.9	ENSMUSG00000109844.2	0.996078588058	0.000934746044681
ENSMUSG00000024256.6	ENSMUSG00000111390.1	0.995616910259	0.00159388645588
ENSMUSG00000024299.16	ENSMUSG00000104919.1	0.99377236531	0.00809961389133
ENSMUSG00000024312.9	ENSMUSG00000103076.1	0.997838290784	4.6179210161e-05
ENSMUSG00000024330.16	ENSMUSG00000107115.1	0.993639100923	0.00890829201807
ENSMUSG00000024330.16	ENSMUSG00000108390.1	0.994339016267	0.00525430379961
ENSMUSG00000024335.19	ENSMUSG00000087639.1	0.996598210169	0.00046671060841
ENSMUSG00000024335.19	ENSMUSG00000111844.1	0.998081271459	2.451792292e-05
ENSMUSG00000024349.9	ENSMUSG00000113250.1	0.993917861262	0.00728037533917
ENSMUSG00000024350.5	ENSMUSG00000097000.2	0.996936795103	0.000277018166364
ENSMUSG00000024370.16	ENSMUSG00000106694.1	0.996236498511	0.000765818267607
ENSMUSG00000024382.13	ENSMUSG00000086291.1	0.994882116251	0.00330164642601
ENSMUSG00000024384.4	ENSMUSG00000107456.1	0.994312389718	0.0053681704208
ENSMUSG00000024387.13	ENSMUSG00000097683.1	0.996625217098	0.000448689385329
ENSMUSG00000024393.14	ENSMUSG00000044125.6	0.994795022003	0.00357036299299
ENSMUSG00000024397.14	ENSMUSG00000109828.1	0.999037440728	5.13218891174e-07
ENSMUSG00000024414.13	ENSMUSG00000107172.1	0.99580614185	0.0012912910076
ENSMUSG00000024421.16	ENSMUSG00000105939.1	0.994528786946	0.00449418827861
